,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
0,Wii Sports,Sports,2006,Nintendo,82.53,76.0,80.0
1,Grand Theft Auto V,Action,2013,Take-Two Interactive,56.57000000000001,97.0,83.0
2,Mario Kart Wii,Racing,2008,Nintendo,35.52,82.0,83.0
3,Wii Sports Resort,Sports,2009,Nintendo,32.77,80.0,80.0
4,Call of Duty: Modern Warfare 3,Shooter,2011,Activision,30.59,88.0,34.0
5,New Super Mario Bros.,Platform,2006,Nintendo,29.8,89.0,85.0
6,Call of Duty: Black Ops II,Shooter,2012,Activision,29.400000000000002,83.0,69.0
7,Call of Duty: Black Ops,Shooter,2010,Activision,29.19,88.0,64.0
8,Wii Play,Misc,2006,Nintendo,28.92,58.0,66.0
9,New Super Mario Bros. Wii,Platform,2009,Nintendo,28.32,87.0,84.0
10,Call of Duty: Ghosts,Shooter,2013,Activision,26.7,78.0,43.0
11,Call of Duty: Modern Warfare 2,Shooter,2009,Activision,24.95,94.0,63.0
12,Grand Theft Auto: San Andreas,Action,2004,Take-Two Interactive,23.729999999999997,95.0,90.0
13,Mario Kart DS,Racing,2005,Nintendo,23.21,91.0,86.0
14,Wii Fit,Sports,2007,Nintendo,22.7,80.0,77.0
15,Grand Theft Auto IV,Action,2008,Take-Two Interactive,22.389999999999997,98.0,79.0
16,Kinect Adventures!,Misc,2010,Microsoft Game Studios,21.81,61.0,63.0
17,Wii Fit Plus,Sports,2009,Nintendo,21.79,80.0,74.0
18,Brain Age: Train Your Brain in Minutes a Day,Misc,2005,Nintendo,20.15,77.0,79.0
19,The Elder Scrolls V: Skyrim,Role-Playing,2011,Bethesda Softworks,19.08,96.0,84.0
20,Call of Duty 4: Modern Warfare,Shooter,2007,Activision,18.19,94.0,85.0
21,Battlefield 3,Shooter,2011,Electronic Arts,17.27,89.0,75.0
22,Guitar Hero III: Legends of Rock,Misc,2007,Activision,16.37,86.0,84.0
23,Grand Theft Auto: Vice City,Action,2002,Take-Two Interactive,16.189999999999998,95.0,88.0
24,Call of Duty: World at War,Shooter,2008,Activision,15.78,85.0,78.0
25,Brain Age 2: More Training in Minutes a Day,Puzzle,2005,Nintendo,15.29,77.0,71.0
26,FIFA 14,Sports,2013,Electronic Arts,15.26,88.0,63.0
27,LEGO Star Wars: The Complete Saga,Action,2007,LucasArts,15.259999999999998,80.0,89.0
28,Gran Turismo 3: A-Spec,Racing,2001,Sony Computer Entertainment,14.98,95.0,84.0
29,FIFA Soccer 13,Action,2012,Electronic Arts,14.92,90.0,66.0
30,Battlefield 4,Shooter,2013,Electronic Arts,13.93,85.0,69.0
31,The Sims 3,Simulation,2009,Electronic Arts,13.659999999999998,86.0,76.0
32,Call of Duty: Advanced Warfare,Shooter,2014,Activision,13.34,83.0,57.0
33,Grand Theft Auto III,Action,2001,Take-Two Interactive,13.11,97.0,85.0
34,Assassin's Creed III,Action,2012,Ubisoft,13.02,85.0,71.0
35,Super Smash Bros. Brawl,Fighting,2008,Nintendo,12.84,93.0,89.0
36,Red Dead Redemption,Action,2010,Take-Two Interactive,12.81,95.0,90.0
37,Just Dance 3,Misc,2011,Ubisoft,12.759999999999998,75.0,78.0
